split,label,path,file_type,recommended_risk
train,land-scapes and others,sample-images\land-scapes and others\image-744.jpg,raster,low
train,manga,sample-images\manga\001.webp,raster,medium
train,manga,sample-images\manga\003.webp,raster,medium
train,manga,sample-images\manga\005.webp,raster,medium
train,manga,sample-images\manga\006.webp,raster,medium
train,manga,sample-images\manga\008.webp,raster,medium
train,manga,sample-images\manga\010.webp,raster,medium
train,manga,sample-images\manga\011.webp,raster,medium
train,manga,sample-images\manga\012.webp,raster,medium
train,manga,sample-images\manga\013.webp,raster,medium
train,manga,sample-images\manga\014.webp,raster,medium
train,manga,sample-images\manga\015.webp,raster,medium
train,manga,sample-images\manga\016.webp,raster,medium
train,medical,sample-images\medical\manifest-1600709154662\LIDC-IDRI\LIDC-IDRI-0001\01-01-2000-NA-NA-30178\3000566.000000-NA-03192\1-045.dcm,dicom,high
train,medical,sample-images\medical\manifest-1600709154662\LIDC-IDRI\LIDC-IDRI-0001\01-01-2000-NA-NA-30178\3000566.000000-NA-03192\1-081.dcm,dicom,high
train,medical,sample-images\medical\manifest-1600709154662\LIDC-IDRI\LIDC-IDRI-0001\01-01-2000-NA-NA-30178\3000566.000000-NA-03192\1-128.dcm,dicom,high
train,medical,sample-images\medical\manifest-1600709154662\LIDC-IDRI\LIDC-IDRI-0002\01-01-2000-NA-NA-98329\3000522.000000-NA-04919\1-061.dcm,dicom,high
train,medical,sample-images\medical\manifest-1600709154662\LIDC-IDRI\LIDC-IDRI-0002\01-01-2000-NA-NA-98329\3000522.000000-NA-04919\1-135.dcm,dicom,high
train,medical,sample-images\medical\manifest-1600709154662\LIDC-IDRI\LIDC-IDRI-0002\01-01-2000-NA-NA-98329\3000522.000000-NA-04919\1-165.dcm,dicom,high
train,medical,sample-images\medical\manifest-1600709154662\LIDC-IDRI\LIDC-IDRI-0002\01-01-2000-NA-NA-98329\3000522.000000-NA-04919\1-252.dcm,dicom,high
train,medical,sample-images\medical\manifest-1600709154662\LIDC-IDRI\LIDC-IDRI-0003\01-01-2000-NA-NA-94866\3000611.000000-NA-03264\1-069.dcm,dicom,high
train,medical,sample-images\medical\manifest-1600709154662\LIDC-IDRI\LIDC-IDRI-0004\01-01-2000-NA-NA-91780\3000534.000000-NA-58228\1-007.dcm,dicom,high
train,medical,sample-images\medical\manifest-1600709154662\LIDC-IDRI\LIDC-IDRI-0004\01-01-2000-NA-NA-91780\3000534.000000-NA-58228\1-076.dcm,dicom,high
train,medical,sample-images\medical\manifest-1600709154662\LIDC-IDRI\LIDC-IDRI-0004\01-01-2000-NA-NA-91780\3000534.000000-NA-58228\1-091.dcm,dicom,high
train,medical,sample-images\medical\manifest-1600709154662\LIDC-IDRI\LIDC-IDRI-0004\01-01-2000-NA-NA-91780\3000534.000000-NA-58228\1-101.dcm,dicom,high
